tên_bệnh,hội_chứng,chủ_chứng,triệu_chứng,lưỡi,mạch,bài_thuốc,vị_thuốc
Suy tuyến thượng thận (Addison),Tỳ Hư Ứ Huyết,,"Sắc mặt và da đều đen, mệt mỏi không sức, váng đầu hoa mắt, đứng muốn ngã, ăn uống kém, muốn nôn, nôn mửa, lưỡi nhạt rêu trắng, mạch Trì Hoãn",lưỡi nhạt rêu trắng,mạch Trì Hoãn,Dị Công Tán gia giảm,"Đẳng sâm, Bạch truật, Trần bì, Phục linh, Hoài sơn, Biển đậu, Bán hạ, Cửu hương trùng, Can địa hoàng, Cúc hoa, Đan sâm, Đào nhân, Xuyên sơn giáp"
Suy tuyến thượng thận (Addison),Âm Dương Lưỡng Hư,,"Khô da, sốt nhẹ kéo dài, lưỡi bệu đỏ ít rêu, mạch Tế Sác vô lực nhưng sợ lạnh tay chân lạnh, huyết áp hạ",lưỡi bệu đỏ ít rêu,mạch Tế Sác vô lực nhưng sợ lạnh tay chân lạnh,Kim Quỹ Thận Khí Hoàn gia vị,"Thục địa, Sơn dược, Đơn bì, Bạch linh, Trạch tả, Câu kỷ tử, Thỏ ti tử, Đỗ trọng, Nữ trinh tử, Sơn thù, Sinh Hoàng kỳ, Nhục quế, Chế Phụ tử, Cam thảo"
Suy tuyến thượng thận (Addison),Khí Huyết Lưỡng Hư,,"Váng đầu hoa mắt, mệt mỏi ít nói, hồi hộp mất ngủ, môi lưỡi nhợt, da xanh tái có vùng xạm đen, mạch Trầm Tế Nhược",môi lưỡi nhợt,mạch Trầm Tế Nhược,Bát Trân Thang gia giảm,"Thục địa, Đương qui, Bạch thược, Long nhãn nhục, Đảng sâm, Kỷ tử, Kê huyết đằng, Bạch truật, Hoàng kỳ, Sao táo nhân, Xuyên khung, Cam thảo"
Alzheimer,Can khí uất kết kèm đờm trệ,,"Dễ tức giận, tâm phiền, uất ức, không muốn nói, hông sườn đầy đau tức, lưỡi bẩn, rêu lưỡi dày nhớt, mạch Hoạt","lưỡi bẩn, rêu lưỡi dày nhớt",mạch Hoạt,Can Uất Phương Gia Vị,"Xuyên khung, Đan sâm, Hồng hoa, Xích thược, Hương phụ, Bán hạ, Sài hồ, Thanh bì, Trần bì, Thạch xương bồ"
Alzheimer,Can Thận Âm Hư kèm Đờm Trệ,,"Bệnh kéo dài, chóng mặt, váng đầu tê và rung tay chân, trí nhớ giảm, chậm chạp, mắt không còn thần, da mặt kém tươi, mồ hôi trộm, khô da, tức giận bất thường, run hoặc co rút cơ, nặng hơn không đi lại được, liệt nửa người, khó nói, lưỡi đỏ tối, rêu lưỡi trắng nhạt, mạch Tế Sác","lưỡi đỏ tối, rêu lưỡi trắng nhạt",mạch Tế Sác,Phương trị Can Thận Âm Hư kèm Đờm Trệ,"Thục địa, Phục linh, Sơn thù, Đan bì, Trạch tả, Xích thược, Bạch thược, Xuyên khung, Hồng hoa, Đào nhân, Xương bồ, Viễn trí"
Alzheimer,Tỳ Thận Dương Hư kèm Đờm Trệ,,"Di chuyển chậm, mất trí nhớ lẫn nhân cách, nói khó, nặng hơn không nói được, không suy nghĩ gì được, nói lộn xộn, mất trí nhớ, tê tay chân, lưỡi tối nhạt, rêu lưỡi trắng, mạch Tế Hoạt Sáp","lưỡi tối nhạt, rêu lưỡi trắng",mạch Tế Hoạt Sáp,Phụ tử nam tinh uất kim Thang,"Sơn thù, Uất kim, Đào nhân, Chỉ sác, Đởm nam tinh, Hồng hoa, Nhục quế, Phụ tử"
Alzheimer,Tâm Tỳ Hư,,"Lẫn lộn không phân biệt được, buồn sầu hay khóc, trầm tư, nói khó, đi đứng chậm, tinh thần mệt mỏi, tự ra mồ hôi, không có sức, hồi hộp sợ hãi, hơi thở ngắn, biếng ăn, lưỡi nhạt, rêu mỏng, mạch Tế Nhược","lưỡi nhạt, rêu mỏng",mạch Tế Nhược,Dưỡng Tâm Thang,"Nhân sâm, Mạch môn, Táo nhân, Đương qui, Thục địa, Sinh địa, Phục linh, Bá tử nhân, Ngũ vị, Cam thảo"
Alzheimer,Can Dương Thượng Cang,,"Nhức đầu, chóng mặt, mặt đỏ, mắt đỏ, bứt rứt, ngủ không ngon giấc, ngủ hay mơ, lưỡi cứng khó nói, tê tay chân, khó cử động miệng và mắt, liệt nửa người, lưỡi đỏ, rêu trắng hoặc hơi vàng nhờn, mạch Tế Sác","lưỡi cứng khó nói, lưỡi đỏ, rêu trắng hoặc hơi vàng nhờn",mạch Tế Sác,Thiên Ma Câu Đằng Ẩm gia vị,"Tang kí sinh, Toan táo nhân, Xương bồ, Bạch thược, Câu Kỉ tử, Thiên ma, Câu đằng, Đỗ trọng, Ngưu tất, Dạ giao đằng, Hoàng cầm, Ích mẫu, Thạch quyết minh, Chi tử, Phục linh"
Alzheimer,Tâm Hoả Vượng,,"Đau đầu, bứt rứt, mặt đỏ, môi đỏ, khó ngủ, ngủ hay mơ, nói năng lẫn lộn, nói cười huyên thuyên, lo âu, không phân biệt thân quen, tiểu vàng, táo bón, lưỡi đỏ, rêu hơi vàng, mạch Sác","lưỡi đỏ, rêu hơi vàng",mạch Sác,Tả Tâm Thang hợp Đạo Xích Tán,"Sinh địa, Huyền sâm, Từ thạch, Long cốt, Hoàng cầm, Chi tử, Đan bì, Uất kim, Đại hoàng, Mộc thông, Đạm trúc diệp, Cam thảo tiết, Hoàng liên"
Alzheimer,Đờm mê tâm Khiếu,,"Nặng đầu, da mặt vàng bủng, phù thủng, mệt mỏi, ngủ mê mệt, thở khò khè, nói năng lẫn lộn, không phân biệt tốt xấu, vui buồn lẫn lộn, không chú ý đến người khác, khạc nhổ đờm, đầy bụng trướng, nặng hơn mất cảm giác không tự làm việc cá nhân, lưỡi nhạt nhờn, mạch Hoạt Nhu",lưỡi nhạt nhờn,mạch Hoạt Nhu,Tẩy Tâm Thang,"Nhân sâm, Phục thần, Táo nhân, Bán hạ, Xương bồ, Trần bì, Kỉ tử, Cam thảo, Phụ tử"
Alzheimer,Chứng não hải bất túc,,"Đau đầu, hoa mắt chóng mặt, ù tai, hay quên, người uỷ mị ít nói, nặng thần chí ngu si, nói cười thất thường, ngôn ngữ mất kiểm soát, chất lưỡi đạm đỏ, hình thái lưỡi to, rêu mỏng trắng, mạch trầm huyền","chất lưỡi đạm đỏ, hình thái lưỡi to, rêu mỏng trắng",mạch trầm huyền,Giác lộc nhị tiên cao hợp Đại định phong châu gia giảm,"Giác bản, Miết giáp, Sinh mẫu lệ, Câu đằng, Kê tử hoàng, A giao, Câu kỳ tử, Lộc nhung, Thục địa, Sinh địa, Bạch thược, Mạch đông, Ma nhân, Nhân sâm"
Alzheimer,Chứng tỳ thận lưỡng hư,,"Trí tuệ giảm sút, khả năng ghi nhớ tính toán định hướng phán đoán đều giảm, tinh thần đờ đẫn, không diễn tả được ngôn từ, chóng mặt, ù tai, đau bụng thích xoa, cơ nhục mềm nhão, ăn ít, tiết tả, lười tiếp xúc, thích nằm, lưng gối đau mỏi, lưỡi gầy sắc đạm, rêu mỏng trắng, mạch trầm tế nhược","lưỡi gầy sắc đạm, rêu mỏng trắng",mạch trầm tế nhược,Hoàn thiếu đan gia giảm,"Thục địa, Câu kỳ tử, Đỗ trọng, Sơn thù du, Nhục thung dung, Tiểu hồi hương, Thạch xương bồ, Ngưu tất, Chử thực tử, Nhân sâm, Phục linh, Sơn dược, Đại táo, Viễn trí, Ngũ vị tử"
Alzheimer,Chứng Đàm trọc mông khiếu,,"Ngu si đờ đẫn, trí lực giảm sút, cười nói bất thường, tự nói một mình hoặc không nói gì, không muốn ăn uống, bụng đau sườn chướng mãn, miệng hay chảy nước bọt, nặng đầu như búa bổ, chất lưỡi đạm, rêu trắng dính, mạch hoạt","chất lưỡi đạm, rêu trắng dính",mạch hoạt,Thông khiếu hoá đàm thang,"Thạch xương bồ, Uất kim, Đởm nam tinh, Bán hạ, Bạch truật, Phục linh, Thăng ma, Toan táo nhân, Ích trí nhân, Đan sâm, Trần bì, Cam thảo"
Alzheimer,Chứng huyết ứ nội trở,,"Tinh thần chậm chạp, lời nói diễn đạt bất lợi, hay quên, dễ kinh sợ, tư duy thất thường, hành vi cổ quái, khô miệng nhưng không muốn uống nước, hai mắt tối đen, chất lưỡi tối có điểm ứ huyết, mạch tế nhược",chất lưỡi tối có điểm ứ huyết,mạch tế nhược,Thông khiếu hoạt huyết thang gia giảm,"Xích thược, Xuyên khung, Đào nhân, Táo đỏ, Hồng hoa, Xạ hương, Sinh khương, Đan sâm, Cát căn, Sơn dược, Câu kỳ tử, Sinh sơn tra"
Ẩm chứng,Ẩm tà hại phế,,"Ho suyễn, ngực đầy, thậm chí không nằm được, đờm nhiều loãng lẫn bọt dãi, gặp lạnh bệnh tăng, có thể kèm sốt sợ lạnh, đau mình, mặt phù thũng nhẹ, lưỡi nhạt, rêu trắng nhớt, mạch Huyền khẩn","lưỡi nhạt, rêu trắng nhớt",mạch Huyền khẩn,Tiểu Thanh Long Thang gia giảm,"Ma hoàng, Quế chi, Bán hạ, Tế tân, Bạch thược, Can khương, Trích thảo, Ngũ vị"
Ẩm chứng,Huyền ẩm,,"Ngực sườn chướng đau, khi ho, xoay mình, hít thở đau tăng, hơi thở ngắn, rêu lưỡi trắng, mạch Huyền",rêu lưỡi trắng,mạch Huyền,Thập Táo Thang (khi chính khí chưa suy); Đình Lịch Đại Táo Tả Phế Thang hợp Tam Tử Thang (khi chính hư tà thực),"Thập Táo Thang: Cam toại, Nguyên hoa, Đại kích, Táo; Đình Lịch Đại Táo Tả Phế Thang hợp Tam Tử Thang: Đình lịch tử, Đại táo, (Tam tử: Tô tử, Bạch giới tử, Lai phục tử)"
Ẩm chứng,Ẩm ứ đọng ở trường vị,,"Hình thể gầy ốm, ăn uống kém, dạ dày có tiếng nước óc ách hoặc sôi, tiêu lỏng, sợ lạnh vùng lưng, chóng mặt, hoa mắt, hồi hộp, ngắn hơi, rêu lưỡi trắng, mạch Huyền Hoạt",rêu lưỡi trắng,mạch Huyền Hoạt,Linh Quế Truật Cam Thang (cơ bản); Kỷ Tiêu Lịch Hoàng Hoàn (khi ẩm lâu hóa nhiệt),"Linh Quế Truật Cam Thang: Bạch linh, Quế chi, Bạch truật, Cam thảo; Kỷ Tiêu Lịch Hoàng Hoàn: Phòng kỉ, Đình lịch tử, Tiêu mục, Đại hoàng"
Ẩm chứng,Ẩm tà ứ đọng ở bàng quang,,"Bụng dưới chướng đầy, tiểu tiện không thông, chóng mặt, hoa mắt, rêu lưỡi trắng, mạch Huyền Hoạt, nặng hơn có thể suyễn, hơi thở ngắn, ớn lạnh, tay chân lạnh, lưỡi bệu nhuận, mạch Trầm tế","rêu lưỡi trắng, lưỡi bệu nhuận","mạch Huyền Hoạt, mạch Trầm tế","Ngũ Linh Tán (cơ bản); Ngũ Linh Tán gia Phụ tử, Nhục quế (nếu Thận dương hư); Tế sinh thận khí hoàn (bệnh nhẹ giai đoạn sau)","Ngũ Linh Tán: Trư linh, Trạch tả, Bạch linh, Quế chi, Bạch truật; Tế sinh thận khí hoàn: Thục địa, Hoài sơn, Đan bì, Bạch linh, Trạch tả, Sơn thù, Nhục quế, Phụ tử, Ngưu tất, Sa tiền"
Âm đạo viêm,Thấp nhiệt,"âm đạo, âm hộ, vùng kín","Khí hư ra nhiều, dính huyết, mùi hôi tanh, nặng đầu, hoa mắt, hay mệt nhọc, khát mà không muốn uống, ít ngủ, táo hoặc ỉa chảy, nước tiểu ít đỏ, có thể đi tiểu luôn, rêu lưỡi vàng nhờn, mạch nhu sác",rêu lưỡi vàng nhờn,mạch nhu sác,Long đởm tả can thang gia giảm,"Long đởm thảo, Sài hồ, Chi tử, Sa tiền, Bạch thược, Sinh địa, Mộc thông, Hoàng bá, Tỳ giải, Phục linh, Ý dĩ"
Âm đạo viêm,Huyết ứ,"âm đạo, âm hộ, vùng kín","Âm đạo sưng đỏ, đau hoặc ứ máu tại chỗ, có dấu hiệu ngoại thương, lưỡi bình thường hoặc có vết ứ máu, mạch bình thường",lưỡi bình thường hoặc có vết ứ máu,mạch bình thường,Huyết Phủ Trục Ứ Thang,"Qui xuyên, Xích thược, Ngưu tất, Đào nhân, Xuyên khung, Cát cánh, Cam thảo, Hồng hoa, Sinh địa, Tam thất, Chỉ sác"
Âm đạo viêm,Can uất,"âm đạo, âm hộ, vùng kín","Khí hư màu hồng nhạt hoặc trắng dính, ra không ngừng, kinh nguyệt không đều, tinh thần uất ức, mạng sườn đầy trướng, miệng đắng, khô họng, tiểu vàng, da vàng, mạch huyền",,mạch huyền,Long đởm tả can thang hợp Đan chi Tiêu dao tán,"Long đởm thảo, Sài hồ, Chi tử, Sa tiền, Bạch thược, Sinh địa, Mộc thông, Hoàng bá, Tỳ giải, Phục linh, Ý dĩ, Đương quy, Bạch truật, Cam thảo, Mẫu đơn bì"
Âm hãn,Can thận dương hư,,"Bộ phận sinh dục ra mồ hôi, âm nang ướt lạnh, sợ lạnh, tay chân lạnh, đau lưng, chân mỏi, tiểu nhiều, dương vật không cương cứng, di tinh, tảo tinh, lưỡi nhạt, có vết răng, mạch Trầm Trì",lưỡi nhạt,mạch Trầm Trì,An Thận Hoàn / Noãn can thang gia giảm,"Ba kích, Bạch tật lê, Bạch truật, Đào nhân, Hoài sơn, Nhục quế, Phá cố chỉ, Phục linh, Xuyên ô, Nhục thung dung, Tỳ giải"
Âm hãn,Can kinh thấp nhiệt,,"Vùng sinh dục ra mồ hôi, da dịch hoàn ẩm hâm hấp nóng, mùi tanh hôi, hông sườn trướng đau, miệng đắng, da thịt đỏ, dương vật mềm yếu, rêu lưỡi vàng bệu, mạch Huyền Sác",rêu lưỡi vàng bệu,mạch Huyền Sác,Thanh Nang Thang / Long đởm tả can thang gia giảm,"Sài hồ, Hoàng cầm, Khương hoạt, Phòng phong, Xương truật, Ma hoàng căn, Trạch tả, Trư linh, Đương qui, Hồng hoa, Mộc thông, Hoạt thạch, Cam thảo"
Âm hành đàm hạch,Đờm Trọc Ngưng Kết,"liệt dương, dương nuy, di tinh, mộng tinh, tảo tiết, hoạt tinh, xuất tinh, dương vật","Trên mặt âm hành có nốt hạch, không cử động thì không thấy dấu hiệu bệnh rõ, lưỡi nhạt, rìa lưỡi có vết răng, rêu lưỡi trắng nhạt, mạch Nhu","lưỡi nhạt, rìa lưỡi có vết răng, rêu lưỡi trắng nhạt",mạch Nhu,Nội tiêu loa lịch hoàn,"Sài hồ, Bạch thược, Hương phụ, Hạ khô thảo, Trần bì, Cương tàm, Hải tảo, Mẫu lệ, Một dược"
Âm hành đàm hạch,Âm Hư Đờm Hoả,"liệt dương, dương nuy, di tinh, mộng tinh, tảo tiết, hoạt tinh, xuất tinh, dương vật","Âm hành kết hạch hơi đau, da hơi ửng đỏ hoặc hơi nóng, về chiều đỏ, ngũ tâm phiền nhiệt, khô họng, ù tai, đau lưng gối mỏi",,,Lục Vị Địa Hoàng Hoàn gia giảm,"Thục địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Mẫu lệ, Hạ khô thảo, Địa cốt bì, Miết giáp, Xạ can, Ngân sài hồ"
Ngứa âm hộ,Can Thận Âm Hư,"âm hộ, âm đạo, vùng kín","Âm hộ khô sít, ngứa không chịu nổi, da vùng âm bộ biến trắng, sưng to hoặc teo lại, vỡ lở loét, ngũ tâm phiền nhiệt, váng đầu, hoa mắt, trời nóng ra mồ hôi, đau lưng, gối mỏi, lưỡi đỏ, rêu ít, mạch Huyền Tế Sác","lưỡi đỏ, rêu ít",mạch Huyền Tế Sác,Tri Bá Địa Hoàng Hoàn gia giảm,"Thục địa, Hoài sơn, Sơn thù, Đan bì, Bạch linh, Trạch tả, Tri mẫu, Hoàng bá, Bạch tiên bì, Hà thủ ô (chế)"
Ngứa âm hộ,Can kinh thấp nhiệt,"âm hộ, âm đạo, vùng kín","Vùng âm bộ ngứa đau, đới hạ ra nhiều, vàng như mủ, dính hôi, váng đầu, hoa mắt, miệng đắng, khô họng, tâm phiền không yên, táo bón, nước tiểu đỏ, lưỡi đỏ, rêu vàng bệu, mạch Huyền Hoạt Sác","lưỡi đỏ, rêu vàng bệu",mạch Huyền Hoạt Sác,Long Đởm Tả Can Thang,"Hoàng cầm, Chi tử, Qui xuyên (Đương quy), Sài hồ, Mộc thông, Cam thảo, Sinh địa, Long đởm thảo, Sa tiền, Trạch tả"
Âm hộ viêm loét,Thấp nhiệt,"âm hộ, âm đạo, vùng kín","Vùng âm đạo lở loét, sưng nóng đỏ đau, chảy nước mủ dính, mùi hôi, váng đầu, hoa mắt, miệng đắng, khô họng, cơ thể nóng, tâm phiền, táo bón, lưỡi đỏ, rêu vàng, mạch Hoạt Sác","lưỡi đỏ, rêu vàng",mạch Hoạt Sác,Long Đởm Tả Can Thang gia giảm,"Sài hồ, Mộc thông, Cam thảo, Sinh địa, Long đởm thảo, Sa tiền, Trạch tả, Qui xuyên, Hoàng cầm, Chi tử, Bồ công anh, Thổ phục linh"
Âm hộ viêm loét,Thấp nhiệt độc thịnh,"âm hộ, âm đạo, vùng kín","Sốt không giảm, khát thích uống nước lạnh, mủ ra hôi thối, kèm triệu chứng thấp nhiệt",,,Tiên Phương Hoạt Mệnh Ẩm,"Bạch chỉ, Bối mẫu, Phòng phong, Xích thược, Quy vĩ, Thiên hoa phấn, Xuyên sơn giáp, Nhũ hương, Tạo giác thích, Một dược, Kim ngân hoa, Trần bì, Cam thảo tiết"
Âm hộ viêm loét,Hàn thấp,"âm hộ, âm đạo, vùng kín","Âm đạo sưng cứng, lở loét, màu khô dang thay đổi hoặc đau, mụn vỡ chảy mủ không dứt, tinh thần mệt mỏi, ăn ít, lưỡi trắng, rêu trắng bệu, mạch Tế Nhược","lưỡi trắng, rêu trắng bệu",mạch Tế Nhược,Dương Hoà Thang gia giảm,"Thục địa, Lộc giác giao, Bào khương thán, Nhục quế, Ma hoàng, Cam thảo, Bạch giới tử, Nga truật, Thương truật, Phục linh, Tạo giác thích"
Âm hộ viêm loét,Chính khí suy yếu,"âm hộ, âm đạo, vùng kín","Nhọt lở loét không thu miệng, hoảng sợ, hơi thở ngắn",,,Thác Lý Tiêu Độc Tán gia giảm,"Nhân sâm, Bạch truật, Hoàng kỳ, Cam thảo, Phục linh, Đương quy, Bạch thược, Xuyên khung, Ngân hoa, Bạch chỉ, Tạo giác thích, Cát cánh"
Âm lãnh,Dương hư,,"Dương vật lạnh, sợ lạnh thích nóng, suy giảm tình dục, tinh lạnh, đau lưng chân yếu, tinh thần mệt mỏi, liệt dương, xuất tinh sớm, nước tiểu trong, đêm tiểu nhiều, lưỡi nhạt, rêu trắng, mạch Trầm Tế Nhược","lưỡi nhạt, rêu trắng",mạch Trầm Tế Nhược,Hữu Quy Hoàn gia vị,"Qui đầu, Lộc giác, Thỏ ti tử, Nhục quế, Thục địa, Kỉ tử, Đỗ trọng, Phụ tử, Hoài sơn, Sơn thù, Dâm dương hoắc, Ba kích, Ngải diệp, Đương quy, Cam thảo"
Âm lãnh,Hàn trệ can mạch,,"Vùng tiền âm lạnh, hoặc âm hành dịch hoàn lạnh đau, bụng dưới đau rút, tay chân lạnh, lưỡi nhạt, rêu trắng nhuận, mạch Trì Huyền hoặc Hoãn","lưỡi nhạt, rêu trắng nhuận",mạch Trì Huyền hoặc Hoãn,Noãn Can Tiễn hợp Tiêu Quế Thang gia giảm,"Nhục quế, Tiểu hồi, Thanh bì, Trầm hương, Ô dược, Trần bì, Qui xuyên, Quế chi, Xuyên tiêu, Ma hoàng, Ngô thù du, Sài hồ"
Âm lãnh,Can kinh thấp nhiệt ngăn trở dương khí,,"Vùng tiền âm lạnh, ra mồ hôi, âm nang ẩm ướt, ngứa, mùi hôi, hông đau sườn đầy trướng, phiền táo dễ tức giận, miệng đắng khô họng, táo bón, tiểu vàng đỏ, lưỡi đỏ sậm, rêu vàng bệu, mạch Huyền Sác","lưỡi đỏ sậm, rêu vàng bệu",mạch Huyền Sác,Thanh Hồn Thang gia vị,"Sài hồ, Hoàng bá, Trạch tả, Đương quy vĩ, Ma hoàng căn, Phòng kỷ, Long đởm thảo, Phục linh, Hồng hoa, Ngũ vị tử"
Âm nang huyết thũng,Xuất huyết ứ huyết,"liệt dương, dương nuy, di tinh, mộng tinh, tảo tiết, hoạt tinh, xuất tinh, dương vật","Bìu dái sưng to, xệ xuống, da bìu màu đỏ tím tối hoặc có mảng đen như vết ứ huyết, nhẹ thì sưng co lại đau xệ, nặng thì cứng thành khối u đau chói",,,Thập Khôi Tán hợp Hoa Nhuỵ Thạch Tán,"Đại kế, Tiểu kế, Hà diệp thán, Bá diệp thán, Mao căn thán, Tây thảo căn, Đại hoàng thán, Chi tử, Tông lư bì, Mẫu đơn bì, Hoa nhuỵ thạch. (Nếu phát sốt thêm: Bồ công anh, Kim ngân hoa, Hoàng bá, Ngư tinh thảo, Bạch hoa xà thiệt thảo; Nếu chảy máu không cầm: bỏ Đại kế, Tiểu kế, Trắc bá diệp, Tông lư bì, thêm Đương quy, Xích thược, Xuyên khung, Hồng hoa)"
Âm nang huyết thũng,Ứ huyết kết,"liệt dương, dương nuy, di tinh, mộng tinh, tảo tiết, hoạt tinh, xuất tinh, dương vật","Âm nang sưng đau, sờ thấy khối u trong bìu, ấn vào đau, nặng, cứng không bớt, càng lúc càng sưng to",,,Phục Nguyên Hoạt Huyết Thang phối hợp Hoạt Lạc Hiệu Linh đơn,"Sài hồ, Thiên hoa phấn, Qui đầu, Đào nhân, Hồng hoa, Xuyên sơn giáp, Cam thảo, Nhũ hương, Một dược, Đan sâm, Đại hoàng. (Nếu bìu sưng cứng khó tan thêm Thuỷ điệt, Mẫu lệ; Nếu khí hư thêm Hoàng kỳ; Nếu bìu lạnh thêm Tiểu hồi, Nhục quế)"
Âm đạo đau,Can thận suy tổn,"âm đạo, âm hộ, vùng kín","Bộ phận sinh dục sưng đau hoặc đau rát, ít hoặc không có huyết trắng, đau lưng, chân mỏi, váng đầu, ù tai, mắt khô dính, uể oải không sức, lưỡi nhạt, rêu nhạt, mạch Trầm Tế","lưỡi nhạt, rêu nhạt",mạch Trầm Tế,Đương Quy Địa Hoàng Ẩm gia giảm,"Qui đầu, Sinh địa, Mẫu lệ, Bạch thược, Huyền hồ"
